Teacher_ID,School_ID,Subject,Training_Level,Years_of_Experience,Student_Teacher_Ratio
TCH0001,SCH0960,Science,Basic,3,23
TCH0002,SCH0170,Social Studies,Basic,4,26
TCH0003,SCH0527,English,Advanced,20,14
TCH0004,SCH0803,Nepali,Basic,11,21
TCH0005,SCH0531,Social Studies,Advanced,10,20
TCH0006,SCH0165,English,Basic,2,23
TCH0007,SCH0094,Science,Basic,6,21
TCH0008,SCH0609,Nepali,Advanced,2,29
TCH0009,SCH0615,Nepali,Basic,10,21
TCH0010,SCH0132,Science,Advanced,5,14
TCH0011,SCH0866,English,Advanced,17,28
TCH0012,SCH0594,Social Studies,Basic,9,26
TCH0013,SCH0214,Math,Advanced,28,14
TCH0014,SCH0314,English,Basic,7,21
TCH0015,SCH0055,Nepali,Basic,13,26
TCH0016,SCH0664,Nepali,Basic,4,27
TCH0017,SCH0039,English,Basic,11,20
TCH0018,SCH0902,Math,Advanced,3,21
TCH0019,SCH0186,Nepali,Advanced,20,12
TCH0020,SCH0145,Math,Basic,3,21
TCH0021,SCH0608,English,Advanced,19,13
TCH0022,SCH0692,Nepali,Basic,15,20
TCH0023,SCH0990,Science,Advanced,3,29
TCH0024,SCH0223,English,Advanced,2,10
TCH0025,SCH0314,Science,Basic,17,22
TCH0026,SCH0526,English,Advanced,19,13
TCH0027,SCH0968,Math,Basic,19,24
TCH0028,SCH0941,Nepali,Advanced,7,13
TCH0029,SCH0495,Math,Basic,17,25
TCH0030,SCH0786,English,Advanced,26,14
TCH0031,SCH0424,Math,Advanced,8,20
TCH0032,SCH0254,Math,Basic,18,20
TCH0033,SCH0720,Nepali,Advanced,28,14
TCH0034,SCH0123,Math,Advanced,14,14
TCH0035,SCH0086,Science,Advanced,3,27
TCH0036,SCH0502,English,Advanced,17,24
TCH0037,SCH0785,Social Studies,Basic,5,27
TCH0038,SCH0416,English,Advanced,3,10
TCH0039,SCH0147,Social Studies,Advanced,22,14
TCH0040,SCH0229,Science,Basic,4,29
TCH0041,SCH0697,Nepali,Advanced,16,25
TCH0042,SCH0567,Nepali,Advanced,2,26
TCH0043,SCH0370,Math,Basic,8,27
TCH0044,SCH0809,Science,Advanced,22,10
